['Legenda'],['Relevancia']
"['Estande', 'brasileiro', '#', 'COP27', 'pronto', 'receber', 'visitantes', 'mundo', 'todo', 'mostrar', 'protagonismo', 'país', 'geração', 'energias', 'verdes', '.', 'futuro', 'energia', 'limpa', 'presente', 'Brasil']",['positivo']
"['#', 'COP27', '-', 'futuro', 'energia', 'limpa', 'realidade', 'atual', 'Brasil', 'Conferência', 'Partes', 'Nações', 'Unidas', 'sobre', 'Mudanças', 'Clima', '-', '#', 'COP27', '“', 'COP', 'energias', '”', 'Brasil', 'vai', 'mostrar', 'mundo', 'potencial', 'geração', 'excedente', 'energias', 'verdes', '.', 'assunto', 'energia', 'elétrica', 'matriz', 'destaca', 'índice', 'renovável', '84', '%', 'frente', '27', '%', 'média', 'mundial', '.', 'Confira', 'programação', 'desta', 'semana', ':', 'https', ':', '//bit.ly/3WFRCY4']",['positivo']
"['Protocolo', 'Montreal', 'instrumentos', 'ambientais', 'bem', 'sucedidos', 'sendo', 'responsável', 'redução', 'consumo', 'Substâncias', 'Destroem', 'Ozônio', '(', 'SDOs', ')', 'consequentemente', 'diminuição', 'nível', 'dessas', 'substâncias', 'lançadas', 'atmosfera', '.', 'partir', 'ratificação', 'Brasil', 'passa', 'ter', 'acesso', 'Fundo', 'Multilateral', 'Protocolo', 'Montreal', 'destinado', 'adequação', 'fabricantes', 'novos', 'parâmetros', 'redução', 'consumo', 'HFCs', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3fMTuO6']",['positivo']
"['Começa', 'amanhã', '(', '8', ')', 'programação', 'oficial', 'pavilhão', 'brasileiro', '27ª', 'Conferência', 'Climática', 'Nações', 'Unidas', '#', 'COP27', 'ocorre', 'Sharm', 'el-Sheikh', 'Egito', '.', 'debates', 'painéis', 'seguem', 'dia', '17', 'novembro', 'transmissões', 'vivo', 'YouTube', 'Ministério', 'Meio', 'Ambiente', '.', 'link', 'programação', 'completa', 'encontra', 'bio', '.']",['positivo']
"['Brasil', '#', 'COP27', '–', 'estande', 'Brasil', '27ª', 'Conferência', 'Nações', 'Unidas', 'sobre', 'Mudança', 'Clima', 'COP', '27', 'realizada', 'Sharm', 'El-Sheik', 'Egito', 'inaugurado', 'oficialmente', 'terça-feira', '(', '8.11', ')', '.', 'abertura', 'contou', 'participação', 'parte', 'Governo', 'Federal', 'ministro', 'Meio', 'Ambiente', 'Joaquim', 'Leite', 'meio', 'videoconferência', '.', 'programação', 'participação', 'diretamente', 'Brasil', 'ministro', 'Educação', 'Victor', 'Godoy', 'secretário-executivo', 'Ministério', 'Economia', 'Marcelo', 'Guaranys', '.', 'Confira', 'programação', 'desta', 'semana', 'link', 'bio', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3htyHzC']",['positivo']
"['Brasil', '#', 'COP27', '-', 'iniciativa', 'Escolas', '+Verdes', 'apresentada', 'painel', 'contou', 'presença', 'ministros', 'Meio', 'Ambiente', 'Joaquim', 'Leite', 'Educação', 'Victor', 'Godoy', '.', 'ação', 'MMA', 'irá', 'instalar', 'biodigestores', 'estimular', 'educação', 'ambiental', 'escolas', '.', 'Além', 'gerar', 'biogás', 'biofertilizante', 'projeto', 'visa', 'ensinar', 'estudantes', 'forma', 'interdisciplinar', '.', 'Confira', 'programação', 'desta', 'semana', 'link', 'bio', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3TmY6bm']",['positivo']
"['Brasil', 'COP27', '-', 'segundo', 'dia', 'programação', 'Pavilhão', 'Brasil', '27ª', 'Conferência', 'Partes', 'Nações', 'Unidas', 'sobre', 'Mudanças', 'Clima', '(', 'COP27', ')', 'marcado', 'painéis', 'sobre', 'descarbonização', 'indústria', ';', 'agricultura', 'clima', ';', 'tecnologia', 'inovação', 'impulsionando', 'futuro', 'verde', ';', 'programa', 'Alimenta', 'Brasil', 'associado', 'sustentabilidade', 'social', '.', 'Confira', 'programação', 'desta', 'semana', 'link', 'bio', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3Tn3lb2']",['positivo']
"['BRASIL', '#', 'COP27', 'novo', 'Marco', 'Legal', 'Saneamento', 'Básico', 'completou', 'julho', 'dois', 'anos', '.', 'avanços', 'Brasil', 'nessa', 'temática', 'sendo', 'apresentados', 'durante', 'COP27', 'Egito', '.', 'Assista', 'vídeo', 'saiba', 'nova', 'legislação', 'representa', 'revolução', 'investimentos', 'saneamento', 'básico', 'país', '.']",['irrelevante']
"['Brasil', '#', 'COP27-', 'fundo', 'R', '$', '130', 'milhões', 'reais', 'Projeto', 'Vertentes', 'combate', 'desertificação', 'promove', 'melhoria', 'solo', 'diminuição', 'gases', 'efeito', 'estufa', '.', 'projeto', 'alcançará', '47', 'milhões', 'hectares', 'Cerrado', 'estados', 'Bahia', 'Minas', 'Gerais', 'Goiás', 'Mato', 'Grosso', 'Mato', 'Grosso', 'Sul', 'Distrito', 'Federal', '.', 'Saiba', ':', 'https', ':', '//bit.ly/3hCD5MO', 'Confira', 'programação', 'completa', 'COP27', 'link', 'bio', '.']",['positivo']
"['BRASIL', '#', 'COP27', 'Brasil', 'potência', 'geração', 'energia', 'elétrica', 'maior', 'participação', 'fontes', 'renováveis', 'mundo', '.', 'COP27', 'Egito', 'país', 'mostrando', 'mundo', 'capacidade', 'grande', 'exportador', 'mundial', 'energia', 'limpa', '.', 'futuro', 'energia', 'limpa', 'presente', 'Brasil', '!', 'Assista', 'vídeo', 'saiba', 'sobre', 'matriz', 'elétrica', 'brasileira', '.']",['positivo']
