"Post","Perfil","Tipo","Assunto","Positvo"
"A minuta de resolução com as regras que vão balizar o lançamento de efluentes nos rios de Goiás entrou em fase final de tramitação no Conselho Estadual de Recursos Hídricos (CERHi). O documento foi proposto pela Semad  a partir de um levantamento dos atos normativos de outorga de lançamento de efluentes em outros estados.A Câmara Técnica Permanente de Assessoramento do CERHi foi criada em resolução publicada no Diário Oficial do Estado no dia 21 de fevereiro de 2024  é presidida pela Semad  realiza reuniões públicas e é formada por nove membros  os quais representam diferentes instituições e setores do Estado. Este colegiado estabeleceu o dia 05 de março de 2024 como prazo final para apresentação de contribuições à minuta.""No dia 28 de fevereiro foi a primeira reunião da CTPA. Na semana que vem  na quarta e quinta feira  será realizada a 2ª reunião da CTPA para analisar e discutir as contribuições recebidas""  afirma Alan Mosele Tonin  gerente de Planos  Enquadramento  Cobrança e Apoio aos Colegiados da Semad.
Outorga de efluentes""Efluente"" é o nome técnico que se dá ao esgoto  seja ela tratado ou não. E ""outorga"" é o ato administrativo em que o órgão ambiental se manifesta a respeito da disponibilidade de água para uma finalidade qualquer. Nesse caso  para a diluição de efluentes. O que está em análise é um documento que vai estabelecer a quantidade de efluentes que pode ser despejado em cada uma das bacias hidrográficas de Goiás. Vale ressaltar que o documento veda o lançamento de efluentes não tratados em qualquer bacia hidrográfica do Estado. Depois que essa resolução for publicada  todos os atores que diluem esgoto tratado nos corpos hídricos do Estado terão que se adequar aos termos da resolução (tanto no que diz respeito à quantidade  quanto à qualidade do rejeito).O plano de outorga de lançamento de efluentes é um estudo que dialoga com o recém-aprovado plano de enquadramento dos rios de Goiás  que  a grosso modo  estabeleceu o cenário que desejamos em termos de qualidade das águas e as restrições que precisarão ser seguidas para que as metas sejam alcançadas.@andrea_vulcanis @jorgewerneck @abel__alves @bento_jrocha @robsondisarz
","semadgoias","politica","fluvial","sim"
"A Semad lança  no dia 07 de março de 2024  uma plataforma que vai permitir aos cidadãos de Goiás reportar episódios de desmatamento  poluição  queimadas  emergências ambientais e atropelamentos de animais silvestres. Disponível tanto em versão web quanto para download gratuito em dispositivos Android e iOS  a plataforma Inã facilitará o processo de denúncia  consulta e gerenciamento dessas ocorrências. O uso da Inã para formalizar denúncias poderá ser feito com identificação ou de forma anônima. O usuário deverá indicar a localização precisa  anexar fotos  vídeos ou áudios da ocorrência e fornecer informações sobre o horário e possíveis autores do ocorrido.""A Semad recebe grande quantidade de denúncias com pouca consistência  o que dificulta o trabalho das equipes de fiscalização. A plataforma foi construída de modo a estimular a população a entregar mais evidências e facilitar o trabalho dos fiscais""  diz o subsecretário de Licenciamento  Controle e Fiscalização da Semad  Robson Disarz. A plataforma  desenvolvida com recursos de compensação ambiental pelo grupo YouX  também operacionalizará todo o processo de sanção administrativa ambiental  desde a lavratura do auto de infração  agendamento e realização da audiência de autocomposição  protocolo e julgamento de defesa.Alertas: Os alertas poderão ser formalizados tanto na versão web  quanto no aplicativo de celular da plataforma Inã. O primeiro passo é o usuário decidir se quer se identificar ou permanecer anônimo  sendo que apenas aqueles que se identificarem poderão acompanhar o andamento dos alertas. O segundo passo é selecionar o tipo de categoria do alerta que melhor se encaixar ao ocorrido: denúncia  fogo  emergência ambiental ou atropelamento de animal silvestre. O terceiro passo é informar à Semad a localização do fato. Caso o denunciante não esteja no local do incidente  ele deve buscar pelo endereço  coordenada geográfica  ou selecionar o ponto no mapa usando um marcador. O quarto (e último) passo é informar a data e a hora do incidente  além de uma descrição do ocorrido e as evidências (fotos  vídeos e áudios). @youxgroup @andrea_vulcanis @robsondisarz @bento_jrocha @jorgewerneck
","semadgoias","tecnologia","meio-ambiente","sim"
"Representantes da Semad apresentaram à Saneago  na última quarta-feira (28/02)  dados hidrológicos e climáticos úteis para subsidiar o planejamento do próximo período seco em Goiás  e com isso minimizar o risco de desabastecimento em algumas regiões do Estado. ""O início do período chuvoso não foi bom e as boas chuvas de fevereiro e março (previsão) podem não ser suficientes para recuperar as vazões""  afirma Jorge Werneck  subsecretário de Biodiversidade  Unidades de Conservação e Segurança Hídrica da Semad.Dados sugerem que  com a transição de um período de El Niño para a entrada da La Niña  há também o risco de leve extensão do período seco no Estado.""A Semad  como órgão gestor dos recursos hídricos do Estado  vem conversando e alertando  com dados e previsões feitas com base nas melhores técnicas  para minimizar tais riscos climáticos e hidrológicos  buscando evitar maiores prejuízos ao povo goiano""  completa Jorge. Jorge representou a Semad acompanhado do gerente do Centro de Informações Metereológicas e Hidrológicas da secretaria  André Amorim. @andrea_vulcanis @jorgewerneck @andre.amorim.goias @abel__alves @bento_jrocha @robsondisarz @saneago @ricardosoavinski
","semadgoias","politica","pluvial","sim"
"ICMS ECOLÓGICO | Núbia Maia  gerente de Apoio aos Municípios e Credenciamento para o Licenciamento Ambiental da Semad  tem um aviso importante às prefeituras.

O prazo para formalizar o envio da documentação alusiva ao ICMS Ecológico vence no dia 15 de março de 2024. 

O ICMS Ecológico é um mecanismo tributário que possibilita aos municípios o acesso a parcelas maiores dos recursos financeiros arrecadados pelos Estados por meio do Imposto sobre Circulação de Mercadorias e Serviços (ICMS). Isso ocorre em virtude do atendimento a determinados critérios ambientais estabelecidos em leis estaduais  proporcionando benefícios adicionais aos municípios em comparação aos direitos já estabelecidos.

Em caso de dúvidas  entre em contato com a gerência da Núbia:
☎️ (62) 99944-7392

@leonardoserpa_ @nubiapatriciaf.maia @carlaasilveira @bento_jrocha @jorgewerneck @robsondisarz @andrea_vulcanis @fgm_go @agmgoias @germanoaoliveira @priscila.ig @haroldonaves @carlaodafox
","semadgoias","politica","financeiro","sim"
"FIM DOS LIXÕES | Sempre de mãos dadas com os municípios  a Semad participou de mais um encontro organizado com o propósito de discutir o fim dos lixões em Goiás. 

O evento ""estratégias municipais para gestão de resíduos sólidos"" foi promovido pela Federação Goiana dos Municípios e aconteceu no auditório da Ordem dos Advogados do Brasil (OAB). 

A superintendente de Desenvolvimento Sustentável e Resíduos Sólidos da Semad  Kaoara Batista  tirou dúvidas dos prefeitos a respeito do decreto 10.367/2023  que estabelece as etapas a serem cumpridas no processo de encerramento dos lixões. 

A discussão continua e a participação de todos é imprescindível!

@kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @mpdegoias @andrea_vulcanis @jorgewerneck @fernandaandreozi @robsondisarz @natalialino @narachavesx @fgm_go @haroldonaves @vanuzavaladares @prefeituraporangatu @mpdegoias
","semadgoias","campanha","poluição","sim"
"PIRACEMA | A piracema termina nesta quarta-feira (28/02)  em Goiás.

Algumas restrições à atvidade de pesca deixam de valer  mas outras regras continuam. A obrigatoriedade da licença é uma delas  assim como proibição do transporte de pescado.

Assista ao vídeo e leia a cartilha produzida pela Semad para orientar melhor. 

LINK PARA CARTILHA
https://goias.gov.br/meioambiente/wp-content/uploads/sites/33/2022/02/Cartilha_pesca_2023-9d9.pdf

@rodrigopbastos @robsondisarz @murilomapas @andrea_vulcanis @marcelo_m_sales
","semadgoias","informativo","fauna","sim"
"PCH VERDE 2 | A Semad promove  no dia 26 de março  consulta pública para debater o Plano Ambiental de Conservação e Uso do Entorno do Reservatório Artificial (Pacuera) da Pequena Central Hidrelétrica (PCH) Verde 2  em Rio Verde.

A consulta acontecerá das 18 às 22 horas  na prefeitura de Rio Verde. O prédio fica localizado na avenida Presidente Vargas  n° 3215. Vila Maria.

A PCH Verde 2 encontra-se instalada no rio Verde zona rural de Rio Verde-GO. A consulta pública visa debater as diretrizes com o objetivo de disciplinar a conservação  recuperação  o uso e ocupação do entorno do reservatório artificial  bem como o estabelecimento de parâmetros para a definição de limites para as Áreas de Preservação Permanente (APP) de reservatório artificial.

O Pacuera  bem como a proposta de Área de Preservação Permanente (APP) da PCH Verde 2  podem ser acessados por meio do seguinte link: https://www.brasal.com.br/pch-verde-2-pacuera

A reunião pública será presencial e transmitida ao vivo. Os interessados poderão participar do evento de duas formas:

1 – Presencial
Prefeitura Municipal de Rio Verde  Av. Presidente Vargas  n° 3215. Vila Maria.

2 – Virtual
A consulta será transmitida via internet no canal https://www.youtube.com/@pchverde2. Para participar e acessar a Área de Transmissão do evento  fazer perguntas escritas ou orais na consulta ou para enviar perguntas escritas de forma antecipada  os interessados deverão consultar o site https://www.brasal.com.br/pch-verde-2-pacuera. A inscrição para perguntas orais só poderá ser realizada no dia do evento. Ao se cadastrar o participante receberá um link para acesso ao aplicativo Zoom  que será enviado por email quando realizada a inscrição.

@brunno.t.o @mbvalerius @zilma.alves.351 @brasal @robsondisarz @jorgewerneck @bento_jrocha @andrea_vulcanis
","semadgoias","politica","fluvial","sim"
"PIRACEMA | O período de defeso termina em Goiás  nesta quarta-feira (28/02). Esse momento compreende a piracema  período reprodutivo dos peixes  e é quando a pesca é proibida no território goiano. Agora  com o fim da piracema  as modalidades de pesca amadora  esportiva e subaquática voltam a ser permitidas em Goiás. No entanto  o Estado adota política de cota zero  o que impede o transporte de pescado.

A piracema é o fenômeno que ocorre sazonalmente com diversas espécies de peixes em todo o mundo. Esse processo é quando algumas espécies nadam rio acima em busca de locais adequados para reprodução e alimentação. Se este fenômeno é interrompido de alguma maneira  a reprodução pode ser prejudicada.

Para pescar em Goiás  é preciso estar licenciado. A licença é obtida on-line  por meio do site goias.gov.br/meioambiente. Os pescadores deverão andar com suas licenças e  em casos de abordagem da fiscalização ambiental  apresentarão seus respectivos documentos de identidade e autorização para prática da pesca. A obtenção da licença é paga  mas há isenção do pagamento para homens com mais de 65 anos  mulheres com mais de 60 anos  indígenas  quilombolas e menores de 18 anos.

Durante a pesca  é permitido o uso de linhas de mão  caniço simples  caniço com molinete ou carretilha e espingarda de mergulho. Para a atividade  é permitido ainda o uso de equipamentos de suporte ao pescador  para contenção do peixe  como bicheiro  puçá  alicates e similares  desde que não sejam utilizados na pesca em si. O uso de aparelhos de respiração artificial é proibido durante a pesca subaquática.

Além disso  em qualquer das modalidades de pesca  permanece vedado o uso de artifícios para retenção de cardumes  tais como cevas  rações  quireras ou outros meios que possam interromper o ciclo natural da subida dos peixes.

@andrea_vulcanis @robsondisarz @marcelo_m_sales @murilomapas @rodrigopbastos @fernandaandreozi @rafanunesb @jose_augustosg @parque_mata_atlantica @m.moura76 @@mauricio_v_t @ @tiagom.aquino @santos_rubia27 @ricardomesquitaa @adriiano.csantos @lenniojaders @desireeomoreira @murilomapas
","semadgoias","informativo","fauna","sim"
"A secretária Andréa Vulcanis e a superintendente de Desenvolvimento Sustentável e Resíduos Sólidos da Semad  Kaoara Batista  receberam visitantes especiais na secretaria para tratar de um assunto em foco atualmente: a coleta seletiva e a reciclagem  que irão contribuir para o fim dos lixões. 

O que são os galpões de triagem? 

Na reunião  a Secretaria de Indústria e Comércio (SIC) apresentou um dos projetos de galpões de triagem de resíduos  que funcionam da seguinte forma: a instalação recebe os materiais descartados  os organiza e processa de acordo com sua composição e tipo  e posteriormente os destina para reciclagem  reutilização ou disposição final adequada. Os galpões de triagem desempenham um papel crucial na promoção da recuperação de recursos valiosos e na contribuição para a sustentabilidade ambiental  reduzindo o desperdício e minimizando o impacto negativo no meio ambiente. 

O presidente da Coop-Recicla de Rio Verde  Divino Teles Guimarães  não escondeu o desejo de que um galpão de triagem seja construído na cidade e ressaltou que  além da importância ambiental  projetos como esse ajudam os catadores que sobrevivem desse tipo de trabalho.

Também estiveram presentes no encontro o promotor do Ministério Público de Goiás (MPGO)  Juliano Araújo  Cristina Maria Costa Prado e Marcos Sussumo Andrade  da SIC  além do presidente da Organização das Cooperativas Brasileiras (OCB) de Goiás  Luís Alberto Pereira. 

@goias_cooperativo @coop_recicla @kkaoara @eufabianamarianunes @fabiosgois @vinicius.mury @bento_jrocha @andrea_vulcanis @prefrioverde @divinotelesguimaraes @msasussumo @luisalbertopereira9
","semadgoias","politica","reciclagem","sim"
"Preparados para a mais recente aquisição de peso da Semad? 

Este é o RS5  um equipamento ADCP usado para monitorar a vazão e mapear a estrutura exata de corpos hídricos. Ele também apresenta um sistema de rádio Bluetooth sem fio de baixa potência (BLE5) integrado  moderno e de alta velocidade  com alcance de 100 metros e transferência de dados a cada cinco minutos para evitar perda de dados e trabalho desnecessário.

Na última semana  recebemos dois equipamentos novos  mais modernos  leves e flexíveis  o que os torna mais adequados para acessar locais de difícil alcance  medindo rios tanto rasos quanto mais profundos.

Realizamos uma capacitação para alguns técnicos da Semad e testamos nosso novo queridinho... Venha conferir!

@andrea_vulcanis @jorgewerneck @andre.amorim.goias @abel__alves @bento_jrocha @robsondisarz
","semadgoias","tecnologia","fluvial","sim"
