['Legenda'],['Perfil'],['Tipo'],['Assunto']
"['DEU', 'MÍDIA', '|', 'jornal', 'Redação', 'informa', 'Semad', 'frente', 'oficina', 'dedicada', 'elaboração', 'plano', 'manejo', 'Parque', 'Estadual', 'Araguaia', '.', 'oficina', 'acontece', 'sexta-feira', '(', '1º', ')', 'reúne', 'representantes', 'poder', 'público', 'municipal', '.', '“', 'partir', 'dessa', 'construção', 'inicial', 'plano', 'manejo', 'vamos', 'abrir', 'período', 'discussões', 'sobre', 'documento', 'chegar', 'denominador', 'comum', 'sociedade', '”', 'disse', 'chefe', 'interino', 'Parque', 'Estadual', 'Araguaia', 'Caio', 'Sousa', '.', 'Neste', 'momento', 'Semad', 'realiza', 'discussões', 'representantes', 'setor', 'pesqueiro', 'turismo', 'poder', 'público', 'federal', 'estadual', 'municipal', '.', 'oficina', 'ocorre', 'distrito', 'Luiz', 'Alves', 'Miguel', 'Araguaia', '.', 'PEA', 'unidade', 'conservação', 'situada', 'área', 'transição', 'Cerrado', 'Floresta', 'Amazônica', 'alta', 'diversidade', 'biológica', '.', 'UC', 'situa', 'bacia', 'hidrográfica', 'Araguaia', 'área', 'período', 'chuvoso', 'alagável', '.', 'parque', 'grandes', 'quantidades', 'aves', 'residentes', 'migratórias', 'além', 'outros', 'representantes', 'fauna', 'brasileira', 'ameaçados', 'extinção', '.']",['semadgoias'],['informativo'],['outros']
"['parou', 'pensar', 'importância', 'água', 'vida', '?', 'Seminário', 'Internacional', 'estarão', 'presentes', '22', 'países', 'diversos', 'estados', 'Brasil', 'possibilitando', 'encontros', 'técnicos', 'gestores', 'tomadores', 'decisão', 'promoverão', 'trocas', 'experiências', 'diálogos', 'sobre', 'desafios', 'oportunidades', 'soluções', 'possíveis', 'gerenciamento', 'integrado', 'recursos', 'hídricos', 'foco', 'desenvolvimento', 'sustentável', 'melhoria', 'indicadores', 'socioeconômicos', 'bacias', 'hidrográficas', 'aquíferos', 'transfronteiriços', '.']",['semadgoias'],['informativo'],['sustentabilidade']
"['Embora', 'calor', 'deva', 'predominar', 'Goiás', 'nesta', 'segunda-feira', '(', '4', ')', 'chegada', 'frente', 'fria', 'oriunda', 'Sudeste', 'Brasil', 'pode', 'proporcionar', 'pancadas', 'chuva', 'isoladas', 'região', 'centro-sul', 'Estado', 'terça', 'quinta', '.', 'prevê', 'Centro', 'Informações', 'Metereológicas', 'Secretaria', 'Meio', 'Ambiente', 'Desenvolvimento', 'Sustentável', 'Goiás', '(', 'Semad', ')', '.', 'Goiânia', 'termômetros', 'podem', 'chegar', '33ºC', 'nesta', 'segunda', 'umidade', 'ar', 'variando', '35', '%', '85', '%', '.', 'tendência', 'temperaturas', 'elevadas', 'todo', 'Estado', '.', 'máximas', '37ºC', 'regiões', 'Oeste', 'Norte', '35ºC', 'Leste', 'Sudoeste', 'Central', '34ºC', 'Sul', 'goiano', '.', 'passagem', 'frente', 'fria', 'sol', 'volta', 'predominar', 'sexta', 'sábado', 'território', 'inteiro', '.', 'Confira', 'previsão', 'Semad', 'tempo', 'alguns', 'municípios', 'nesta', 'segunda', ':', 'Porangatu', ':', '21ºC/36ºC', 'Catalão', ':', '19ºC/32ºC', 'Jataí', ':', '19ºC/33ºC', 'Rio', 'Verde', ':', '20ºC/33ºC', 'Luziânia', ':', '19ºC/32ºC', 'Anápolis', ':', '19ºC/30ºC', 'Goiânia', ':', '19ºC/33ºC', 'Itumbiara', ':', '19ºC/34ºC', 'Três', 'Ranchos', ':', '19ºC/31ºC', 'Formosa', ':', '19ºC/31ºC', 'Cristalina', ':', '18ºC/30ºC', 'Santa', 'Helena', ':', '20ºC/34ºC', 'Ceres', ':', '20ºC/35ºC', 'Goianésia', ':', '20ºC/35ºC', 'Iporá', ':', '20ºC/34ºC', 'Aruanã', ':', '23º/37ºC']",['semadgoias'],['informativo'],['clima']
"['Semana', 'feriado', 'quinta', 'gente', 'começa', '?', 'show', 'cachoeira', 'claro', '!', 'Cachoeira', 'Almécegas', 'atrativos', 'sensacional', 'Parque', 'Estadual', 'Águas', 'Paraíso', '(', 'Peap', ')', '24', 'unidades', 'conservação', 'Semad', '.', 'Tá', 'lugar', 'pra', 'ir', 'feriado', '?', 'Marca', 'alguém', 'aqui', 'pra', 'dar', 'olhada', 'nessa', 'dica', '!']",['semadgoias'],['informativo'],['outros']
"['mês', 'comemoramos', 'dia', 'Cerrado', 'amanhã', 'vai', 'grande', 'dia', '!', '!', 'Governador', 'Ronaldo', 'Caiado', 'secretária', 'Andréa', 'Vulcanis', 'representantes', 'diversos', 'setores', 'econômicos', 'assinam', 'Pacto', 'Desmatamento', 'Ilegal', 'Zero', '.', 'aqui', 'parceria', 'agro', 'governo', 'estado', 'pauta', 'Desmatamento', 'Ilegal', 'Zero', 'permite', 'crescer', 'ainda', 'forma', 'sustentável', 'sempre', 'respeitando', 'preservando', 'meio', 'ambiente', '.', '@', 'andrea_vulcanis', '@', 'ronaldocaiado', '@', 'governodegoias']",['semadgoias'],['politica'],['desmatamento']
"['Terça-feira', '05', 'setembro', '2023', 'dia', 'histórico', 'Goiás', '.', 'Representantes', 'diversos', 'setores', 'economia', 'assinarão', 'documento', 'comprometem', 'lado', 'governo', 'somar', 'esforços', 'acabar', 'desmatamento', 'ilegal', '2030', '.', 'pacto', 'mostra', 'amadurecemos', 'busca', 'modelo', 'sustentável', 'resultado', 'aposta', 'diálogo', '.']",['semadgoias'],['politica'],['desmatamento']
"['planeta', 'clama', 'grande', 'ajuste', 'rota', 'forma', 'usamos', 'recursos', 'naturais', '.', 'Água', 'elemento', 'vital', 'tema', 'central', 'Seminário', 'Internacional', 'Águas', 'Futuro', '.', 'grande', 'encontro', 'reunirá', 'lideres', 'políticos', 'sociais', 'técnicos', 'especialistas', 'ambientalistas', 'gestores', 'vindos', 'outros', '22', 'países', 'America', 'Latina', 'Caribe', 'muita', 'gente', 'interessante', 'Brasil', '.', 'encontro', 'promete', 'importante', 'passo', 'cultura', 'proteção', 'preservação', 'ambiental', 'grande', 'união', 'diversos', 'atores', 'prol', 'projetos', 'ideias', 'programas', 'soluções', 'gerenciamento', 'integrado', 'recursos', 'hídricos', '.', 'desenvolvimento', 'sustentável', 'melhoria', 'indicadores', 'socioeconômicos', 'bacias', 'hidrográficas', 'aquíferos', 'transfronteiriços', 'meta', 'Futuro', 'ação', 'presente', '.', '#', 'goias', '#', 'aguasparaofuturo', '#', 'planeta', '#', 'meioambiente', '#', 'sustentavel', '#', 'encontro', '#', 'embaixadas', '#', 'americas', '#', 'agua', '#', 'rioquente']",['semadgoias'],['informativo'],['sustentabilidade']
"['dia', '29', 'agosto', 'Goiás', 'juntou', 'outros', '11', 'estados', 'aderiu', 'Consórcio', 'Brasil', 'Verde', 'criado', 'lidar', 'efeitos', 'adversos', 'mudança', 'clima', 'País', '.', 'Trata-se', 'sinalização', 'Estado', 'dá', 'âmbito', 'local', 'internacional', 'comprometidos', 'debater', 'assunto', 'seriedade', 'exige', '.', 'Convidamos', 'gerente', 'Mudanças', 'Climáticas', 'Semad', 'Milvo', 'Gabriel', 'di', 'Domenico', 'responder', 'algumas', 'perguntas', 'sobre', 'consórcio', '.', '#', 'goias', '#', 'carbono', '#', 'mudancasclimaticas']",['semadgoias'],['informativo'],['clima']
"['governador', 'Ronaldo', 'Caiado', 'representantes', 'setores', 'diversos', 'economia', 'mineral', 'industrial', 'agropecuário', 'assinam', 'nesta', 'terça-feira', '(', '05/09', ')', 'pacto', 'compromisso', 'zerar', 'desmatamento', 'ilegal', 'Goiás', '2030', '.', 'solenidade', 'acontece', 'Palácio', 'Esmeraldas', '14h30', '.', 'Estado', 'vai', 'comprometer', 'promover', 'ações', 'educação', 'ambiental', 'aperfeiçoar', 'Cadastro', 'Ambiental', 'Rural', '(', 'CAR', ')', 'agilizar', 'regularização', 'propriedades', 'criar', 'incentivos', 'práticas', 'sustentáveis', 'fortalecer', 'trabalho', 'fiscalização', 'manter', 'celeridade', 'análise', 'pedidos', 'licença', 'ambiental', 'formular', 'programas', 'Pagamento', 'Serviço', 'Ambiental', '(', 'PSA', ')', 'estimular', 'agricultura', 'baixo', 'carbono', '.', 'setores', 'economia', 'subscreverão', 'pacto', 'assumirão', 'compromisso', 'não', 'realizar', 'desmatamento', 'ilegal', 'respeitar', 'leis', 'meio', 'ambiente', 'preservar', 'Áreas', 'Preservação', 'Permanente', '(', 'APPs', ')', 'reservas', 'legais', 'investir', 'técnicas', 'agrícolas', 'sustentáveis', '.']",['semadgoias'],['politica'],['desmatamento']
"['pacto', 'desmatamento', 'ilegal', 'zero', 'envolve', 'setores', 'economia', 'Governo', 'Goiás', 'projeta', 'cumprimento', 'integral', 'meta', '2030', '.', 'metas', 'serem', 'cumpridas', 'ano', 'ano', 'mostra', 'post', '.', 'chegar', 'lá', 'todos', 'envolvidos', 'assumiram', 'série', 'compromissos', '.', 'Estado', 'vai', 'comprometer', 'promover', 'ações', 'educação', 'ambiental', 'aperfeiçoar', 'Cadastro', 'Ambiental', 'Rural', '(', 'CAR', ')', 'agilizar', 'regularização', 'propriedades', 'criar', 'incentivos', 'práticas', 'sustentáveis', 'fortalecer', 'trabalho', 'fiscalização', 'manter', 'celeridade', 'análise', 'pedidos', 'licença', 'ambiental', 'formular', 'programas', 'Pagamento', 'Serviço', 'Ambiental', '(', 'PSA', ')', 'estimular', 'agricultura', 'baixo', 'carbono', '.', 'setores', 'economia', 'subscreverão', 'pacto', 'assumirão', 'compromisso', 'não', 'realizar', 'desmatamento', 'ilegal', 'respeitar', 'leis', 'meio', 'ambiente', 'preservar', 'Áreas', 'Preservação', 'Permanente', '(', 'APPs', ')', 'reservas', 'legais', 'investir', 'técnicas', 'agrícolas', 'sustentáveis', '.', '@', 'ronaldocaiado', '@', 'andrea_vulcanis', '@', 'governodegoias']",['semadgoias'],['politica'],['desmatamento']
